number,street,unit,city,region,postcode,latitude,longitude,parcel_id,land_use_code,land_use_type,occupancy,owner_name,homestead,year_built,bedrooms,bathrooms,half_baths,rooms,air_conditioning,appraised_value,annual_tax,sale_price,sale_date,match_status
8525,PRIESTLEY DR,,REYNOLDSBURG,OH,43068,39.9690848,-82.7731728,,,,,,,,,,,,,,,,,UNMATCHED
219,BALLMAN SQUARE E,,ETNA TWP,OH,43068,39.9646262,-82.7337806,,,,,,,,,,,,,,,,,UNMATCHED
10057,FRENCH LAKE DR SW,,ETNA TWP,OH,43068,39.9488615,-82.7536511,,,,,,,,,,,,,,,,,UNMATCHED
8218,KINGSLEY DR,,REYNOLDSBURG,OH,43068,39.9644855,-82.7803456,,,,,,,,,,,,,,,,,UNMATCHED
733,HUNNICUT DR,,REYNOLDSBURG,OH,43068,39.9752592,-82.7566191,,,,,,,,,,,,,,,,,UNMATCHED
169,BROOK DR SW,,ETNA TWP,OH,43068,39.9440162,-82.7659512,,,,,,,,,,,,,,,,,UNMATCHED
1996,OPAL ST,,REYNOLDSBURG,OH,43068,39.9440179,-82.7930121,060-009243,553,APARTMENT,LIKELY_RENTAL,ENDURUS - TRADITIONS LLC,,2007,2,2,1,4,1,128700.00,2362.04,17740000,06/01/2023,MATCHED
7147,E MAIN ST,,REYNOLDSBURG,OH,43068,39.9548723,-82.8064285,060-003876,425,COMMERCIAL,UNKNOWN,LRES INVESTMENTS LLC,,,0,0,0,0,0,435000.00,17287.36,1060000,12/13/2000,MATCHED
908,ROSEHILL RD,,REYNOLDSBURG,OH,43068,39.9637811,-82.8182299,060-004916,510,SINGLE_FAMILY,LIKELY_OWNER,TURNER DAVID A,,1974,4,2,1,8,1,300000.00,5376.48,86000,06/05/1986,MATCHED
6460,RED FOX CT,,REYNOLDSBURG,OH,43068,39.964648,-82.8266467,060-003293,510,SINGLE_FAMILY,LIKELY_OWNER,THAPA DILLI,,1966,4,1,1,8,1,238100.00,4266.98,160000,10/11/2018,MATCHED
6449,RED FOX CT,,REYNOLDSBURG,OH,43068,39.9640974,-82.8268452,060-003298,510,SINGLE_FAMILY,LIKELY_OWNER,MARSH MARY KAY,,1967,3,2,0,7,1,274800.00,4924.38,0,01/19/2022,MATCHED
6623,MAIN ST,,REYNOLDSBURG,OH,43068,39.9546564,-82.8206887,060-001196,444,COMMERCIAL,LIKELY_RENTAL,CCM PROPERTIES FOUR LLC,,,0,0,0,0,0,60200.00,2586.02,5320000,01/15/2025,MATCHED
509,ROSEHILL RD,,REYNOLDSBURG,OH,43068,39.9715233,-82.8223436,060-005262,510,SINGLE_FAMILY,LIKELY_OWNER,RELLI-DEMPSEY VINCENT M.T.,,1979,4,2,1,8,1,260700.00,4671.96,330500,04/21/2025,MATCHED
8122,REYNOLDSWOOD DR,,REYNOLDSBURG,OH,43068,39.9739569,-82.7837931,060-008683,510,SINGLE_FAMILY,LIKELY_OWNER,BOATENG ALEX O,,2004,4,2,1,8,1,383500.00,6872.5,255036,01/24/2005,MATCHED
531,ROSEHILL RD,,REYNOLDSBURG,OH,43068,39.9710871,-82.8221489,060-005260,510,SINGLE_FAMILY,LIKELY_OWNER,PETERMAN BRETT E,,1978,4,2,1,8,1,261400.00,4684.24,145000,04/02/2009,MATCHED
7232,E MAIN ST,,REYNOLDSBURG,OH,43068,39.9555046,-82.8055716,060-001331,640,EXEMPT,LIKELY_RENTAL,VILLAGE OF REYNOLDSBURG,,,0,0,0,0,0,0.00,0,0,01/03/2002,MATCHED
6676,IMPERIAL ROSE PL,,REYNOLDSBURG,OH,43068,39.9572559,-82.8197375,060-008227,550,APARTMENT_4PLUS,OWNER_OCCUPIED,STEPPE GARNETT L,Y,1995,2,2,0,5,1,143400.00,2067.94,86500,11/18/2009,MATCHED
6448,RED FOX CT,,REYNOLDSBURG,OH,43068,39.9645567,-82.8269549,060-003294,510,SINGLE_FAMILY,OWNER_OCCUPIED,MERGEL ROBERT J,Y,1966,4,1,1,8,1,245700.00,3901.42,82900,06/12/1986,MATCHED
7063,ROUNDELAY RD S,,REYNOLDSBURG,OH,43068,39.9569908,-82.8092572,,,,,,,,,,,,,,,,,UNMATCHED
6451,RUGOSA AVE,,REYNOLDSBURG,OH,43068,39.9732679,-82.8285613,060-005463,510,SINGLE_FAMILY,OWNER_OCCUPIED,SHANK ROBERT W,Y,1979,4,2,1,8,1,269600.00,4329.94,74690,06/16/1980,MATCHED
1107,HILLRIDGE RD,,REYNOLDSBURG,OH,43068,39.9609926,-82.8004386,060-000521,510,SINGLE_FAMILY,LIKELY_OWNER,HOUSLEY DANIEL LEE,,1956,3,1,0,6,1,173200.00,3104.24,95000,03/29/2018,MATCHED
6571,SCHENK AVE,,REYNOLDSBURG,OH,43068,39.9722456,-82.8251643,060-005400,510,SINGLE_FAMILY,LIKELY_OWNER,DORELIEN BENJAMIN,,1978,4,2,1,8,1,290100.00,5198.8,270000,05/12/2021,MATCHED
6910,ROUNDELAY RD N,,REYNOLDSBURG,OH,43068,39.9649592,-82.8147199,,,,,,,,,,,,,,,,,UNMATCHED
6549,GLACIER AVE,,REYNOLDSBURG,OH,43068,39.9696961,-82.8253169,060-005296,510,SINGLE_FAMILY,LIKELY_OWNER,ECHOLS CHRISTOPHER M,,1976,4,2,1,8,1,277400.00,4970.96,230000,09/04/2019,MATCHED
6550,FALLS CIR,,REYNOLDSBURG,OH,43068,39.9671941,-82.8248169,,,,,,,,,,,,,,,,,UNMATCHED
6962,ROUNDELAY RD N,,REYNOLDSBURG,OH,43068,39.964878,-82.8131891,,,,,,,,,,,,,,,,,UNMATCHED
8040,GOLDSMITH DR,,REYNOLDSBURG,OH,43068,39.9578399,-82.7835904,060-003540,520,TWO_FAMILY,LIKELY_RENTAL,LIVCO INC,,1972,6,2,2,10,1,328800.00,6033.84,0,04/24/1972,MATCHED
1271,FLETCHER CT,,REYNOLDSBURG,OH,43068,39.9602142,-82.7832077,060-003601,510,SINGLE_FAMILY,LIKELY_OWNER,BARNES JOYCE,,1971,3,2,1,7,1,245000.00,4390.36,124000,02/21/2013,MATCHED
7135,SHAWNEE WAY,,REYNOLDSBURG,OH,43068,39.9739691,-82.810893,,,,,,,,,,,,,,,,,UNMATCHED
808,HUNT VALLEY DR,,REYNOLDSBURG,OH,43068,39.9649451,-82.8218363,060-003347,510,SINGLE_FAMILY,LIKELY_OWNER,KURRLE DANA L,,1961,3,1,0,5,1,199800.00,3580.4,170000,02/12/2021,MATCHED
7149,TOMAHAWK TRL,,REYNOLDSBURG,OH,43068,39.9767268,-82.811185,,,,,,,,,,,,,,,,,UNMATCHED
815,MARLAN AVE,,REYNOLDSBURG,OH,43068,39.9666164,-82.8094878,,,,,,,,,,,,,,,,,UNMATCHED
1227,BAYTREE CT,,REYNOLDSBURG,OH,43068,39.9573447,-82.8143144,,,,,,,,,,,,,,,,,UNMATCHED
7277,MARLAN AVE,,REYNOLDSBURG,OH,43068,39.9686323,-82.8056815,060-001664,510,SINGLE_FAMILY,LIKELY_OWNER,SARTAIN JANIS,,1958,3,1,0,5,1,185500.00,3324.38,244900,07/09/2025,MATCHED
845,ROSEHILL RD,,REYNOLDSBURG,OH,43068,39.9649885,-82.8186101,060-003334,510,SINGLE_FAMILY,LIKELY_OWNER,GARRETT DAVID H,,1960,3,2,0,5,1,235200.00,4215.26,0,05/06/2021,MATCHED
667,CATON DR,,REYNOLDSBURG,OH,43068,39.9711712,-82.7959857,060-007806,510,SINGLE_FAMILY,OWNER_OCCUPIED,BENESH LAWRENCE C,Y,1992,4,2,1,8,1,325900.00,5338.56,141432,04/21/1993,MATCHED
8168,MAUGHAM DR,,REYNOLDSBURG,OH,43068,39.9684287,-82.7822796,060-003815,510,SINGLE_FAMILY,LIKELY_OWNER,CASSELL JAMES D TR,,1978,3,1,1,7,1,252000.00,4515.78,0,06/24/2016,MATCHED
6991,TREEBOURNE DR,,REYNOLDSBURG,OH,43068,39.9658679,-82.8101887,,,,,,,,,,,,,,,,,UNMATCHED
878,LANCASTER AVE,,REYNOLDSBURG,OH,43068,39.9652872,-82.8065569,060-000558,510,SINGLE_FAMILY,UNKNOWN,TYLER KELSEY JO,,1957,3,1,0,7,1,213900.00,3833.3,129000,03/15/2018,MATCHED
6611,OLDE MILL RUN,,REYNOLDSBURG,OH,43068,39.964611,-82.8226009,060-003392,510,SINGLE_FAMILY,LIKELY_RENTAL,REDMOND PAMELA,,1962,4,1,1,6,1,212000.00,3890.96,139755,06/08/2017,MATCHED
1155,BEAVERCREEK BLVD,,REYNOLDSBURG,OH,43068,39.9609745,-82.7962304,,,,,,,,,,,,,,,,,UNMATCHED
7072,WIND RIVER DR,,REYNOLDSBURG,OH,43068,39.9683151,-82.8116075,060-004350,510,SINGLE_FAMILY,LIKELY_OWNER,WILEY KIMBERLY A,,1978,4,2,1,8,1,246100.00,4410.32,0,01/13/2006,MATCHED
492,POSTWOODS DR,,REYNOLDSBURG,OH,43068,39.9727901,-82.8144856,,,,,,,,,,,,,,,,,UNMATCHED
6536,ROSEDALE AVE,,REYNOLDSBURG,OH,43068,39.9691971,-82.8254555,060-005346,510,SINGLE_FAMILY,LIKELY_OWNER,SCHOLZ ANDREW E,,1980,4,2,1,8,1,284900.00,5105.62,156500,04/29/2003,MATCHED
676,BAINBROOK CT,,REYNOLDSBURG,OH,43068,39.9688874,-82.8138823,060-004361,510,SINGLE_FAMILY,LIKELY_OWNER,BRINKLEY STEVEN R,,1983,3,2,0,6,1,214400.00,3842.02,125000,06/28/2005,MATCHED
1251,LANCASTER AVE,,REYNOLDSBURG,OH,43068,39.9578818,-82.8036495,060-000240,510,SINGLE_FAMILY,LIKELY_OWNER,MARTIN KATARINA A,,1943,4,2,0,7,1,213300.00,3822.54,180000,08/20/2020,MATCHED
499,ROSEHILL RD,,REYNOLDSBURG,OH,43068,39.971727,-82.8224551,060-005263,510,SINGLE_FAMILY,LIKELY_OWNER,NELSON BRIAN E,,1978,4,2,1,8,1,284300.00,5094.84,233000,07/02/2019,MATCHED
6804,N BURGUNDY PL,,REYNOLDSBURG,OH,43068,39.9579886,-82.8164983,,,,,,,,,,,,,,,,,UNMATCHED
430,KNOB AVE,,REYNOLDSBURG,OH,43068,39.9722899,-82.8292146,060-005483,510,SINGLE_FAMILY,LIKELY_OWNER,CALLIHAN JEREMY T,,1979,4,2,1,8,1,331300.00,5937.08,235000,04/23/2020,MATCHED
6980,TANYA TER,,REYNOLDSBURG,OH,43068,39.9607787,-82.8123407,,,,,,,,,,,,,,,,,UNMATCHED
614,HUNT VALLEY DR,,REYNOLDSBURG,OH,43068,39.9693358,-82.8220123,060-005286,510,SINGLE_FAMILY,OWNER_OCCUPIED,DOWNEY BARBARA L,Y,1976,4,2,1,8,1,283800.00,4584.4,0,05/04/1989,MATCHED
8121,GOLDSMITH DR,,REYNOLDSBURG,OH,43068,39.957562,-82.7814226,060-003454,520,TWO_FAMILY,LIKELY_RENTAL,LIVCO CO,,1972,6,2,2,10,1,328800.00,6034.36,0,05/24/1972,MATCHED
8121,BUNYAN DR,,REYNOLDSBURG,OH,43068,39.9607932,-82.7819579,060-003593,510,SINGLE_FAMILY,LIKELY_OWNER,PIERCE LAKISHA T,,1972,4,1,1,8,1,255000.00,4569.56,125000,06/20/2014,MATCHED
6900,STARFIRE DR,,REYNOLDSBURG,OH,43068,39.961424,-82.8134143,060-004854,510,SINGLE_FAMILY,OWNER_OCCUPIED,DAVIS ARTHUR C,Y,1973,4,2,1,7,1,246800.00,3921.38,0,10/17/2024,MATCHED
7004,TOMAHAWK TRL,,REYNOLDSBURG,OH,43068,39.9775231,-82.8152362,,,,,,,,,,,,,,,,,UNMATCHED
6800,E MAIN ST,,REYNOLDSBURG,OH,43068,39.955261,-82.8155584,060-005184,420,COMMERCIAL,LIKELY_OWNER,FIREPLACE GIFT & FLORIST INC,,,0,0,0,0,0,305400.00,11766.8,205000,04/09/2014,MATCHED
6780,E MAIN ST,,REYNOLDSBURG,OH,43068,39.9553432,-82.8160261,060-005180,435,COMMERCIAL,LIKELY_RENTAL,TIM DONUT U S LIMITED INC,,,0,0,0,0,0,791600.00,34155.04,0,02/28/1997,MATCHED
6805,NICE CT,,REYNOLDSBURG,OH,43068,39.9571761,-82.8162377,060-009123,553,APARTMENT,LIKELY_RENTAL,FRENCH RUN ACQUISITION,,1989,2,2,0,4,1,114400.00,2099.36,0,05/25/2011,MATCHED
7584,E MAIN ST,,REYNOLDSBURG,OH,43068,39.9561019,-82.7959644,060-006876,425,COMMERCIAL,LIKELY_RENTAL,OLDE TOWN EAST SHOPPING CENTER LLC,,,0,0,0,0,0,565600.00,34371.84,0,02/28/2024,MATCHED
7390,E MAIN ST,,REYNOLDSBURG,OH,43068,39.9554336,-82.8006451,060-000171,420,COMMERCIAL,LIKELY_RENTAL,7390 MAIN LLC,,,0,0,0,0,0,166200.00,5867.46,0,07/02/2019,MATCHED
7509,E MAIN ST,,REYNOLDSBURG,OH,43068,39.9549901,-82.7973758,060-000158,442,COMMERCIAL,LIKELY_RENTAL,GAUTAM HOMES LLC,,,0,0,0,0,0,523500.00,30274.76,0,02/02/2024,MATCHED
1349,TERRY DR,,REYNOLDSBURG,OH,43068,39.9541909,-82.8174115,060-001801,510,SINGLE_FAMILY,LIKELY_RENTAL,WORTH ROGER D,,1958,3,2,0,6,1,188700.00,3463.12,49000,12/16/2011,MATCHED
1375,HENTZ DR,,REYNOLDSBURG,OH,43068,39.9542271,-82.8157561,060-000969,453,COMMERCIAL,LIKELY_OWNER,BUILD 24 LLC,,,0,0,0,0,0,103500.00,3994.82,160000,12/29/2023,MATCHED
8075,ELIOT DR,,REYNOLDSBURG,OH,43068,39.9582756,-82.7827735,060-003579,510,SINGLE_FAMILY,LIKELY_RENTAL,FKH SER PROPCO B-HLD LP,,1971,4,1,1,7,1,210500.00,3863.18,0,03/23/2021,MATCHED
463,ROSEHILL RD,,REYNOLDSBURG,OH,43068,39.9724588,-82.8226904,060-005266,510,SINGLE_FAMILY,LIKELY_OWNER,LENZ SCOTT R,,1979,4,2,1,8,1,233400.00,4183,120500,07/26/2011,MATCHED
1068,ROSEHILL RD,,REYNOLDSBURG,OH,43068,39.9599513,-82.8184336,060-004832,511,SINGLE_FAMILY,LIKELY_OWNER,TIMMONS MANDY,,1960,3,1,0,6,1,176300.00,3159.52,113900,07/15/2016,MATCHED
6802,BORDEAUX CT,,REYNOLDSBURG,OH,43068,39.9569798,-82.8162547,060-009105,553,APARTMENT,LIKELY_RENTAL,FRENCH RUN ACQUISITION,,1989,2,2,0,4,1,114400.00,2099.36,0,05/25/2011,MATCHED
7148,E MAIN ST,,REYNOLDSBURG,OH,43068,39.9554022,-82.8067447,060-001130,470,COMMERCIAL,LIKELY_RENTAL,CITY OF REYNOLDSBURG OHIO,,1890,0,1,1,6,1,95000.00,7049.6,0,04/17/2025,MATCHED
7830,RODEBAUGH RD,,REYNOLDSBURG,OH,43068,39.9740913,-82.7924903,060-008585,510,SINGLE_FAMILY,LIKELY_RENTAL,OLYMPUS BORROWER 1 LLC,,2007,3,2,1,7,1,259600.00,4763.94,0,02/09/2022,MATCHED
8114,REYNOLDSWOOD DR,,REYNOLDSBURG,OH,43068,39.973999,-82.7845684,060-008680,510,SINGLE_FAMILY,LIKELY_OWNER,LANDIS ANTHONY M,,2005,3,2,1,7,1,318800.00,5712.84,211195,06/09/2005,MATCHED
1165,WOODWIND DR,,REYNOLDSBURG,OH,43068,39.9572528,-82.8276317,,,,,,,,,,,,,,,,,UNMATCHED
6989,E MAIN ST,,REYNOLDSBURG,OH,43068,39.9547796,-82.8108976,060-001128,426,COMMERCIAL,LIKELY_RENTAL,REYNOLDSBURG CENTER LIMITED PARTNERSHIP,,,0,0,0,0,0,3201700.00,157569.32,0,09/21/2022,MATCHED
522,HUNT VALLEY DR,,REYNOLDSBURG,OH,43068,39.9712347,-82.8227262,060-005277,510,SINGLE_FAMILY,OWNER_OCCUPIED,MCCOY HUGH E,Y,1978,4,2,1,7,1,254300.00,4055.5,56000,04/11/1978,MATCHED
6801,PRIOR PL,,REYNOLDSBURG,OH,43068,39.9638255,-82.8175746,060-004914,510,SINGLE_FAMILY,LIKELY_OWNER,LUBAYA LECLERC,,1976,4,2,1,8,1,305100.00,5467.6,325000,10/11/2022,MATCHED
8075,BUNYAN DR,,REYNOLDSBURG,OH,43068,39.9608546,-82.7832437,060-003597,510,SINGLE_FAMILY,LIKELY_OWNER,INSAURRALDE ELIZABETH M,,1972,3,1,1,6,1,206400.00,3699.16,0,08/13/2021,MATCHED
1133,JONSON CT,,REYNOLDSBURG,OH,43068,39.9629286,-82.7831616,060-003645,510,SINGLE_FAMILY,OWNER_OCCUPIED,CONNER HAZEL I,Y,1972,3,1,1,6,1,218200.00,3408.36,0,05/25/2016,MATCHED
6693,RAVENNA CT,,REYNOLDSBURG,OH,43068,39.9663796,-82.8207566,060-005591,510,SINGLE_FAMILY,LIKELY_RENTAL,CHAPAGAI INDRA LAL,,1976,3,1,1,7,1,236300.00,4234.7,0,05/18/2020,MATCHED
630,ANDREA PL,,REYNOLDSBURG,OH,43068,39.9684137,-82.8265801,060-006076,510,SINGLE_FAMILY,LIKELY_OWNER,HICKS DERRICK,,1982,4,2,1,8,1,244800.00,4386.76,85000,11/02/2012,MATCHED
6635,OLIVETREE CT,,REYNOLDSBURG,OH,43068,39.9748071,-82.8237481,060-004196,510,SINGLE_FAMILY,LIKELY_OWNER,KABONGO GERRY,,1978,3,2,0,6,1,253800.00,4548.58,202000,12/09/2020,MATCHED
6975,ARDELLE DR,,REYNOLDSBURG,OH,43068,39.9585451,-82.8121149,060-002829,510,SINGLE_FAMILY,LIKELY_OWNER,MITCHELL ADAM,,1962,4,2,1,8,1,250700.00,4492.76,118000,06/21/2012,MATCHED
1131,MATTERHORN DR,,REYNOLDSBURG,OH,43068,39.9593071,-82.8171174,060-004703,510,SINGLE_FAMILY,LIKELY_OWNER,MCLENDON PETRINA,,1971,4,2,1,7,1,260500.00,4668.38,0,12/31/2019,MATCHED
421,LANCASTER AVE,,REYNOLDSBURG,OH,43068,39.974964,-82.8116663,060-007210,403,COMMERCIAL,LIKELY_RENTAL,INDIAN CREEK ASSOCIATES LLC,,,0,0,0,0,0,14072100.00,402935.96,0,06/04/2014,MATCHED
988,COTTINGHAM RD,,REYNOLDSBURG,OH,43068,39.9634029,-82.8009097,060-000907,510,SINGLE_FAMILY,LIKELY_OWNER,WILLIAMSON HEATHER,,1956,3,1,0,6,1,233100.00,4177.36,0,10/15/1998,MATCHED
7131,MEDALLION CT,,REYNOLDSBURG,OH,43068,39.9638289,-82.8085929,060-005097,510,SINGLE_FAMILY,LIKELY_OWNER,KEITH LORI J,,1977,4,2,1,7,1,254900.00,4568.02,177500,02/03/2017,MATCHED
6643,GLACIER AVE,,REYNOLDSBURG,OH,43068,39.9695665,-82.8226712,060-005287,510,SINGLE_FAMILY,LIKELY_OWNER,PALMER JOHN,,1980,4,2,1,6,1,228900.00,4102.12,275000,08/25/2022,MATCHED
584,HUNT VALLEY DR,,REYNOLDSBURG,OH,43068,39.9699395,-82.8222403,060-005283,510,SINGLE_FAMILY,LIKELY_OWNER,DICOCCO NICHOLAS,,1979,4,2,1,8,1,267100.00,4786.64,175000,10/12/2020,MATCHED
6564,FUSILIER AVE,,REYNOLDSBURG,OH,43068,39.9708616,-82.824987,060-005384,510,SINGLE_FAMILY,OWNER_OCCUPIED,HICKS MELVIN M,Y,1979,4,2,1,8,1,268500.00,3763.86,96500,01/03/1989,MATCHED
6799,TANYA TER,,REYNOLDSBURG,OH,43068,39.9621939,-82.8173388,,,,,,,,,,,,,,,,,UNMATCHED
6566,FORRESTER WAY,,REYNOLDSBURG,OH,43068,39.9775531,-82.8262988,,,,,,,,,,,,,,,,,UNMATCHED
1112,NOCTURNE RD E,,REYNOLDSBURG,OH,43068,39.9601271,-82.8088886,,,,,,,,,,,,,,,,,UNMATCHED
1006,ROSEHILL RD,,REYNOLDSBURG,OH,43068,39.9610385,-82.8180105,060-004831,511,SINGLE_FAMILY,LIKELY_RENTAL,FRANKLIN MARK D,,1963,4,2,1,9,1,293600.00,5261.78,212500,07/11/2001,MATCHED
7343,BRYDEN RD,,REYNOLDSBURG,OH,43068,39.9582518,-82.802638,060-000279,510,SINGLE_FAMILY,LIKELY_OWNER,SORENSON JOSEPH R,,1948,3,2,0,5,1,137300.00,2460.64,210000,01/05/2024,MATCHED
7053,BLACKOAK DR,,REYNOLDSBURG,OH,43068,39.9690134,-82.8121811,060-004343,510,SINGLE_FAMILY,OWNER_OCCUPIED,LEE JEFFREY L,Y,1979,3,1,1,7,1,241700.00,3829.72,0,09/13/2001,MATCHED
6383,BRICE WOODS DR,,REYNOLDSBURG,OH,43068,39.9565516,-82.8277426,,,,,,,,,,,,,,,,,UNMATCHED
1179,WOODWIND DR,,REYNOLDSBURG,OH,43068,39.9570431,-82.8277948,,,,,,,,,,,,,,,,,UNMATCHED
7975,WINDRIFT PL,,REYNOLDSBURG,OH,43068,39.9658612,-82.7867163,060-008362,510,SINGLE_FAMILY,LIKELY_OWNER,WASHINGTON CHRISTOPHER L,,1999,4,3,1,8,1,393700.00,7055.28,266000,05/28/2003,MATCHED
707,ROSEHILL RD,,REYNOLDSBURG,OH,43068,39.9669863,-82.8186513,060-004509,511,SINGLE_FAMILY,OWNER_OCCUPIED,PETTY MICHAEL D,Y,1957,3,1,1,6,1,162000.00,2401.76,0,11/06/2002,MATCHED
